sim_name,expected_theta,method,theta_prom,error,est_theta_list,t60
sim_T60_0.2_run1,47.311,Classic,58.38,122.5228,"[[ 0.   59.99 57.59 55.13]
 [  nan  0.   59.99 57.59]
 [  nan   nan  0.   59.99]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run1,47.311,ROTH,48.453,1.3049,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run1,47.311,PHAT,48.453,1.3049,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run1,47.311,SCOT,48.453,1.3049,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run1,47.311,ECKART,66.33,361.7224,"[[ 0.   69.07 64.61 61.55]
 [  nan  0.   69.07 64.61]
 [  nan   nan  0.   69.07]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run1,47.311,HT,49.313,4.0093,"[[ 0.   55.13 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run2,68.779,Classic,35.2,1127.5492,"[[ 0.   38.18 34.74 30.96]
 [  nan  0.   38.18 30.96]
 [  nan   nan  0.   38.18]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run2,68.779,ROTH,33.367,1254.0334,"[[ 0.   38.18 30.96 30.96]
 [  nan  0.   38.18 30.96]
 [  nan   nan  0.   30.96]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run2,68.779,PHAT,33.367,1254.0334,"[[ 0.   38.18 30.96 30.96]
 [  nan  0.   38.18 30.96]
 [  nan   nan  0.   30.96]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run2,68.779,SCOT,33.367,1254.0334,"[[ 0.   38.18 30.96 30.96]
 [  nan  0.   38.18 30.96]
 [  nan   nan  0.   30.96]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run2,68.779,ECKART,50.038,351.2126,"[[ 0.   55.13 47.25 40.34]
 [  nan  0.   55.13 47.25]
 [  nan   nan  0.   55.13]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run2,68.779,HT,33.367,1254.0334,"[[ 0.   38.18 30.96 30.96]
 [  nan  0.   38.18 30.96]
 [  nan   nan  0.   30.96]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run3,6.284,Classic,99.607,8709.1201,"[[  0.   102.38 100.29  98.22]
 [   nan   0.   102.38  96.15]
 [   nan    nan   0.    98.22]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run3,6.284,ROTH,101.235,9015.6924,"[[  0.   106.61 102.38  99.6 ]
 [   nan   0.   102.38  98.22]
 [   nan    nan   0.    98.22]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run3,6.284,PHAT,101.235,9015.6924,"[[  0.   106.61 102.38  99.6 ]
 [   nan   0.   102.38  98.22]
 [   nan    nan   0.    98.22]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run3,6.284,SCOT,101.235,9015.6924,"[[  0.   106.61 102.38  99.6 ]
 [   nan   0.   102.38  98.22]
 [   nan    nan   0.    98.22]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run3,6.284,ECKART,96.958,8221.8347,"[[ 0.   98.22 98.22 96.84]
 [  nan  0.   98.22 96.15]
 [  nan   nan  0.   94.1 ]
 [  nan   nan   nan  0.  ]]",0.2
sim_T60_0.2_run3,6.284,HT,99.607,8709.1201,"[[  0.   102.38 100.29  98.22]
 [   nan   0.   102.38  96.15]
 [   nan    nan   0.    98.22]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run4,54.229,Classic,147.983,8789.875,"[[  0.   149.04 149.04 146.48]
 [   nan   0.   149.04 145.26]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run4,54.229,ROTH,150.152,9201.158,"[[  0.   158.27 149.04 146.48]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run4,54.229,PHAT,150.152,9201.158,"[[  0.   158.27 149.04 146.48]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run4,54.229,SCOT,150.152,9201.158,"[[  0.   158.27 149.04 146.48]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run4,54.229,ECKART,124.74,4971.8011,"[[  0.   124.87 124.87 126.55]
 [   nan   0.   124.87 122.41]
 [   nan    nan   0.   124.87]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run4,54.229,HT,151.69,9498.6465,"[[  0.   158.27 149.04 146.48]
 [   nan   0.   158.27 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run5,43.565,Classic,131.713,7770.1287,"[[  0.   135.61 132.75 131.83]
 [   nan   0.   130.03 130.03]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run5,43.565,ROTH,134.155,8206.5481,"[[  0.   141.82 135.61 131.83]
 [   nan   0.   135.61 130.03]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run5,43.565,PHAT,134.155,8206.5481,"[[  0.   141.82 135.61 131.83]
 [   nan   0.   135.61 130.03]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run5,43.565,SCOT,134.155,8206.5481,"[[  0.   141.82 135.61 131.83]
 [   nan   0.   135.61 130.03]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run5,43.565,ECKART,116.542,5325.5939,"[[  0.   120.01 117.68 115.39]
 [   nan   0.   115.39 115.39]
 [   nan    nan   0.   115.39]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.2_run5,43.565,HT,134.155,8206.5481,"[[  0.   141.82 135.61 131.83]
 [   nan   0.   135.61 130.03]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.2
sim_T60_0.4_run1,56.309,Classic,128.293,5181.7442,"[[  0.   130.03 127.4  124.87]
 [   nan   0.   130.03 127.4 ]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run1,56.309,ROTH,152.823,9315.0165,"[[  0.   158.27 153.28 149.04]
 [   nan   0.   158.27 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run1,56.309,PHAT,152.823,9315.0165,"[[  0.   158.27 153.28 149.04]
 [   nan   0.   158.27 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run1,56.309,SCOT,152.823,9315.0165,"[[  0.   158.27 153.28 149.04]
 [   nan   0.   158.27 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run1,56.309,ECKART,112.91,3203.6732,"[[  0.   110.93 110.93 113.89]
 [   nan   0.   110.93 115.39]
 [   nan    nan   0.   115.39]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run1,56.309,HT,152.823,9315.0165,"[[  0.   158.27 153.28 149.04]
 [   nan   0.   158.27 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run2,67.427,Classic,61.98,29.6698,"[[ 0.   64.61 59.99 53.45]
 [  nan  0.   64.61 64.61]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run2,67.427,ROTH,41.823,655.5477,"[[ 0.   38.18 34.74 49.97]
 [  nan  0.   55.13 34.74]
 [  nan   nan  0.   38.18]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run2,67.427,PHAT,38.998,808.1891,"[[ 0.   38.18 34.74 49.97]
 [  nan  0.   38.18 34.74]
 [  nan   nan  0.   38.18]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run2,67.427,SCOT,38.998,808.1891,"[[ 0.   38.18 34.74 49.97]
 [  nan  0.   38.18 34.74]
 [  nan   nan  0.   38.18]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run2,67.427,ECKART,75.027,57.7549,"[[ 0.   77.62 73.39 70.52]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   77.62]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run2,67.427,HT,45.397,485.3356,"[[ 0.   44.39 34.74 49.97]
 [  nan  0.   55.13 49.97]
 [  nan   nan  0.   38.18]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run3,47.589,Classic,66.157,344.7582,"[[ 0.   73.39 66.86 58.4 ]
 [  nan  0.   69.07 64.61]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run3,47.589,ROTH,49.327,3.0195,"[[ 0.   49.97 47.25 44.39]
 [  nan  0.   49.97 44.39]
 [  nan   nan  0.   59.99]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run3,47.589,PHAT,49.647,4.234,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 44.39]
 [  nan   nan  0.   59.99]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run3,47.589,SCOT,49.647,4.234,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 44.39]
 [  nan   nan  0.   59.99]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run3,47.589,ECKART,84.523,1364.145,"[[ 0.   90.   85.9  81.78]
 [  nan  0.   85.9  81.78]
 [  nan   nan  0.   81.78]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run3,47.589,HT,48.837,1.5567,"[[ 0.   55.13 47.25 46.31]
 [  nan  0.   49.97 44.39]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run4,30.281,Classic,74.917,1992.3427,"[[ 0.   77.62 75.52 71.96]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   73.39]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run4,30.281,ROTH,68.405,1453.4394,"[[ 0.   69.07  0.    0.  ]
 [  nan  0.   77.62 62.32]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run4,30.281,PHAT,69.055,1503.4231,"[[ 0.   69.07 77.62 63.09]
 [  nan  0.   77.62 62.32]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run4,30.281,SCOT,69.055,1503.4231,"[[ 0.   69.07 77.62 63.09]
 [  nan  0.   77.62 62.32]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run4,30.281,ECKART,84.523,2942.2307,"[[ 0.   90.   85.9  81.78]
 [  nan  0.   85.9  81.78]
 [  nan   nan  0.   81.78]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run4,30.281,HT,71.625,1709.3263,"[[ 0.   77.62 75.52 67.6 ]
 [  nan  0.   77.62 62.32]
 [  nan   nan  0.   69.07]
 [  nan   nan   nan  0.  ]]",0.4
sim_T60_0.4_run5,38.533,Classic,114.782,5813.8592,"[[  0.   110.93 113.14 118.45]
 [   nan   0.   115.39 115.39]
 [   nan    nan   0.   115.39]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run5,38.533,ROTH,131.597,8660.8461,"[[  0.   135.61 130.03 128.27]
 [   nan   0.   135.61 130.03]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run5,38.533,PHAT,138.995,10092.6134,"[[  0.   135.61 130.03 128.27]
 [   nan   0.   130.03 180.  ]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run5,38.533,SCOT,138.995,10092.6134,"[[  0.   135.61 130.03 128.27]
 [   nan   0.   130.03 180.  ]
 [   nan    nan   0.   130.03]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run5,38.533,ECKART,103.198,4181.6053,"[[  0.   102.38 102.38 105.19]
 [   nan   0.   102.38 104.48]
 [   nan    nan   0.   102.38]
 [   nan    nan    nan   0.  ]]",0.4
sim_T60_0.4_run5,38.533,HT,124.288,7353.9772,"[[  0.   124.87 120.01 128.27]
 [   nan   0.   130.03 117.68]
 [   nan    nan   0.   124.87]
 [   nan    nan    nan   0.  ]]",0.4
