,sim_name,method,expected_theta,theta_prom,error,est_theta_list,mic_array.d,mic_array.n,mic_array.position,source.position,mic-source distance
0,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",Classic,62.499,64.61,0.00014,"[0.0, 64.61, 64.61]",0.1,3,"[9, 2, 1]","[18, 19, 1]",19.165659393822065
1,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",ROTH,62.499,64.61,0.00014,"[0.0, 64.61, 64.61]",0.1,3,"[9, 2, 1]","[18, 19, 1]",19.165659393822065
2,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",PHAT,62.499,64.61,0.00014,"[0.0, 64.61, 64.61]",0.1,3,"[9, 2, 1]","[18, 19, 1]",19.165659393822065
3,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",SCOT,62.499,64.61,0.00014,"[0.0, 64.61, 64.61]",0.1,3,"[9, 2, 1]","[18, 19, 1]",19.165659393822065
4,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",ECKART,62.499,64.61,0.00014,"[0.0, 64.61, 64.61]",0.1,3,"[9, 2, 1]","[18, 19, 1]",19.165659393822065
5,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",HT,62.499,64.61,0.00014,"[0.0, 64.61, 64.61]",0.1,3,"[9, 2, 1]","[18, 19, 1]",19.165659393822065
6,"sim_Anechoich_d0.1_n4_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",Classic,62.632,64.103,7e-05,"[0.0, 64.61, 64.61, 63.09]",0.1,4,"[9, 2, 1]","[18, 19, 1]",19.14262259984248
7,"sim_Anechoich_d0.1_n4_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",ROTH,62.632,64.103,7e-05,"[0.0, 64.61, 64.61, 63.09]",0.1,4,"[9, 2, 1]","[18, 19, 1]",19.14262259984248
8,"sim_Anechoich_d0.1_n4_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",PHAT,62.632,64.103,7e-05,"[0.0, 64.61, 64.61, 63.09]",0.1,4,"[9, 2, 1]","[18, 19, 1]",19.14262259984248
9,"sim_Anechoich_d0.1_n4_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",SCOT,62.632,64.103,7e-05,"[0.0, 64.61, 64.61, 63.09]",0.1,4,"[9, 2, 1]","[18, 19, 1]",19.14262259984248
10,"sim_Anechoich_d0.1_n4_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",ECKART,62.632,64.103,7e-05,"[0.0, 64.61, 64.61, 63.09]",0.1,4,"[9, 2, 1]","[18, 19, 1]",19.14262259984248
11,"sim_Anechoich_d0.1_n4_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",HT,62.632,64.103,7e-05,"[0.0, 64.61, 64.61, 63.09]",0.1,4,"[9, 2, 1]","[18, 19, 1]",19.14262259984248
12,"sim_Anechoich_d0.1_n5_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",Classic,62.765,63.658,2e-05,"[0.0, 64.61, 64.61, 63.09, 62.32]",0.1,5,"[9, 2, 1]","[18, 19, 1]",19.119688804998894
13,"sim_Anechoich_d0.1_n5_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",ROTH,62.765,63.658,2e-05,"[0.0, 64.61, 64.61, 63.09, 62.32]",0.1,5,"[9, 2, 1]","[18, 19, 1]",19.119688804998894
14,"sim_Anechoich_d0.1_n5_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",PHAT,62.765,63.658,2e-05,"[0.0, 64.61, 64.61, 63.09, 62.32]",0.1,5,"[9, 2, 1]","[18, 19, 1]",19.119688804998894
15,"sim_Anechoich_d0.1_n5_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",SCOT,62.765,63.658,2e-05,"[0.0, 64.61, 64.61, 63.09, 62.32]",0.1,5,"[9, 2, 1]","[18, 19, 1]",19.119688804998894
16,"sim_Anechoich_d0.1_n5_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",ECKART,62.765,63.658,2e-05,"[0.0, 64.61, 64.61, 63.09, 62.32]",0.1,5,"[9, 2, 1]","[18, 19, 1]",19.119688804998894
17,"sim_Anechoich_d0.1_n5_s[18.0,19.0,1.0]_m[9.0,2.0,1.0,]",HT,62.765,63.658,2e-05,"[0.0, 64.61, 64.61, 63.09, 62.32]",0.1,5,"[9, 2, 1]","[18, 19, 1]",19.119688804998894
18,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[5.0,6.0,1.0,]",Classic,45.332,48.61,0.00033,"[0.0, 49.97, 47.25]",0.1,3,"[5, 6, 1]","[18, 19, 1]",18.27901802614134
19,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[5.0,6.0,1.0,]",ROTH,45.332,48.61,0.00033,"[0.0, 49.97, 47.25]",0.1,3,"[5, 6, 1]","[18, 19, 1]",18.27901802614134
20,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[5.0,6.0,1.0,]",PHAT,45.332,48.61,0.00033,"[0.0, 49.97, 47.25]",0.1,3,"[5, 6, 1]","[18, 19, 1]",18.27901802614134
21,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[5.0,6.0,1.0,]",SCOT,45.332,48.61,0.00033,"[0.0, 49.97, 47.25]",0.1,3,"[5, 6, 1]","[18, 19, 1]",18.27901802614134
22,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[5.0,6.0,1.0,]",ECKART,45.332,48.61,0.00033,"[0.0, 49.97, 47.25]",0.1,3,"[5, 6, 1]","[18, 19, 1]",18.27901802614134
23,"sim_Anechoich_d0.1_n3_s[18.0,19.0,1.0]_m[5.0,6.0,1.0,]",HT,45.332,48.61,0.00033,"[0.0, 49.97, 47.25]",0.1,3,"[5, 6, 1]","[18, 19, 1]",18.27901802614134
