,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
0,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,0.0,1.0]",Classic,72.719,74.8,0.00013,"[[ 0.   77.62 73.39 73.39]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   73.39]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 0, 1]","[7, 9, 1]"
1,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,0.0,1.0]",ROTH,72.719,74.562,0.0001,"[[ 0.   77.62 73.39 71.96]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   73.39]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 0, 1]","[7, 9, 1]"
2,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,0.0,1.0]",PHAT,72.719,74.562,0.0001,"[[ 0.   77.62 73.39 71.96]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   73.39]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 0, 1]","[7, 9, 1]"
3,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,0.0,1.0]",SCOT,72.719,74.562,0.0001,"[[ 0.   77.62 73.39 71.96]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   73.39]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 0, 1]","[7, 9, 1]"
4,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,0.0,1.0]",ECKART,72.719,78.188,0.00092,"[[ 0.   81.78 77.62 74.81]
 [  nan  0.   81.78 75.52]
 [  nan   nan  0.   77.62]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 0, 1]","[7, 9, 1]"
5,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,0.0,1.0]",HT,72.719,74.8,0.00013,"[[ 0.   77.62 73.39 73.39]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   73.39]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 0, 1]","[7, 9, 1]"
6,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,3.0,1.0]",Classic,64.983,67.84,0.00025,"[[ 0.   69.07 66.86 66.11]
 [  nan  0.   69.07 66.86]
 [  nan   nan  0.   69.07]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 3, 1]","[7, 9, 1]"
7,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,3.0,1.0]",ROTH,64.983,66.097,4e-05,"[[ 0.   69.07 64.61 64.61]
 [  nan  0.   69.07 64.61]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 3, 1]","[7, 9, 1]"
8,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,3.0,1.0]",PHAT,64.983,66.097,4e-05,"[[ 0.   69.07 64.61 64.61]
 [  nan  0.   69.07 64.61]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 3, 1]","[7, 9, 1]"
9,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,3.0,1.0]",SCOT,64.983,66.097,4e-05,"[[ 0.   69.07 64.61 64.61]
 [  nan  0.   69.07 64.61]
 [  nan   nan  0.   64.61]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 3, 1]","[7, 9, 1]"
10,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,3.0,1.0]",ECKART,64.983,75.86,0.00365,"[[ 0.   77.62 75.52 73.39]
 [  nan  0.   77.62 73.39]
 [  nan   nan  0.   77.62]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 3, 1]","[7, 9, 1]"
11,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[4.0,3.0,1.0]",HT,64.983,66.84,0.00011,"[[ 0.   69.07 64.61 64.61]
 [  nan  0.   69.07 64.61]
 [  nan   nan  0.   69.07]
 [  nan   nan   nan  0.  ]]",0.2,0.1,"[4, 3, 1]","[7, 9, 1]"
12,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[10.0,8.0,1.0]",Classic,162.64600000000002,168.342,0.001,"[[  0.   158.27 164.73 162.32]
 [   nan   0.   180.   164.73]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[10, 8, 1]","[7, 9, 1]"
13,"sim_T0.20s_d0.1_s[7.0,9.0,1.0]_m[10.0,8.0,1.0]",ROTH,162.64600000000002,172.84,0.00321,"[[  0.   180.   164.73 167.58]
 [   nan   0.   180.   164.73]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[10, 8, 1]","[7, 9, 1]"
