,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
0,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,3.0,1.0]",Classic,123.69,99.763,0.01767,"[0.0, 104.91, 99.46, 94.92]",0.2,0.5,"[4, 3, 1]","[3, 6, 1]"
1,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,3.0,1.0]",ROTH,123.69,99.903,0.01746,"[0.0, 104.91, 99.88, 94.92]",0.2,0.5,"[4, 3, 1]","[3, 6, 1]"
2,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,3.0,1.0]",PHAT,123.69,99.903,0.01746,"[0.0, 104.91, 99.88, 94.92]",0.2,0.5,"[4, 3, 1]","[3, 6, 1]"
3,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,3.0,1.0]",SCOT,123.69,99.903,0.01746,"[0.0, 104.91, 99.88, 94.92]",0.2,0.5,"[4, 3, 1]","[3, 6, 1]"
4,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,3.0,1.0]",ECKART,123.69,99.94,0.01741,"[0.0, 104.06, 100.29, 95.47]",0.2,0.5,"[4, 3, 1]","[3, 6, 1]"
5,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,3.0,1.0]",HT,123.69,99.903,0.01746,"[0.0, 104.91, 99.88, 94.92]",0.2,0.5,"[4, 3, 1]","[3, 6, 1]"
6,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[8.0,5.0,1.0]",Classic,170.538,168.347,0.00015,"[0.0, 170.44, 168.23, 166.37]",0.2,0.5,"[8, 5, 1]","[3, 6, 1]"
7,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[8.0,5.0,1.0]",ROTH,170.538,168.75,0.0001,"[0.0, 170.44, 168.23, 167.58]",0.2,0.5,"[8, 5, 1]","[3, 6, 1]"
8,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[8.0,5.0,1.0]",PHAT,170.538,168.75,0.0001,"[0.0, 170.44, 168.23, 167.58]",0.2,0.5,"[8, 5, 1]","[3, 6, 1]"
9,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[8.0,5.0,1.0]",SCOT,170.538,168.75,0.0001,"[0.0, 170.44, 168.23, 167.58]",0.2,0.5,"[8, 5, 1]","[3, 6, 1]"
10,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[8.0,5.0,1.0]",ECKART,170.538,157.587,0.00518,"[0.0, 156.16, 155.16, 161.44]",0.2,0.5,"[8, 5, 1]","[3, 6, 1]"
11,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[8.0,5.0,1.0]",HT,170.538,168.75,0.0001,"[0.0, 170.44, 168.23, 167.58]",0.2,0.5,"[8, 5, 1]","[3, 6, 1]"
12,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[5.0,6.0,1.0]",Classic,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[3, 6, 1]"
13,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[5.0,6.0,1.0]",ROTH,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[5, 6, 1]","[3, 6, 1]"
