,sim_name,method,expected_theta,theta_prom,error,est_theta_list,mic_array.d,mic_array.position,source.position,mic-source distance
0,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[5.0,5.0,1.0]",Classic,46.975,48.453,7e-05,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.1,"[5, 5, 1]","[8, 2, 1]",4.1036569057366385
1,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[5.0,5.0,1.0]",ROTH,46.975,48.453,7e-05,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.1,"[5, 5, 1]","[8, 2, 1]",4.1036569057366385
2,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[5.0,5.0,1.0]",PHAT,46.975,48.453,7e-05,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.1,"[5, 5, 1]","[8, 2, 1]",4.1036569057366385
3,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[5.0,5.0,1.0]",SCOT,46.975,48.453,7e-05,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.1,"[5, 5, 1]","[8, 2, 1]",4.1036569057366385
4,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[5.0,5.0,1.0]",ECKART,46.975,48.133,4e-05,"[[ 0.   49.97 47.25 44.39]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.1,"[5, 5, 1]","[8, 2, 1]",4.1036569057366385
5,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[5.0,5.0,1.0]",HT,46.975,48.453,7e-05,"[[ 0.   49.97 47.25 46.31]
 [  nan  0.   49.97 47.25]
 [  nan   nan  0.   49.97]
 [  nan   nan   nan  0.  ]]",0.1,"[5, 5, 1]","[8, 2, 1]",4.1036569057366385
6,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[1.0,8.0,1.0]",Classic,41.424,44.058,0.00021,"[[ 0.   44.39 44.39 42.4 ]
 [  nan  0.   44.39 44.39]
 [  nan   nan  0.   44.39]
 [  nan   nan   nan  0.  ]]",0.1,"[1, 8, 1]","[8, 2, 1]",9.068627239003707
7,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[1.0,8.0,1.0]",ROTH,41.424,44.058,0.00021,"[[ 0.   44.39 44.39 42.4 ]
 [  nan  0.   44.39 44.39]
 [  nan   nan  0.   44.39]
 [  nan   nan   nan  0.  ]]",0.1,"[1, 8, 1]","[8, 2, 1]",9.068627239003707
8,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[1.0,8.0,1.0]",PHAT,41.424,44.058,0.00021,"[[ 0.   44.39 44.39 42.4 ]
 [  nan  0.   44.39 44.39]
 [  nan   nan  0.   44.39]
 [  nan   nan   nan  0.  ]]",0.1,"[1, 8, 1]","[8, 2, 1]",9.068627239003707
9,"sim_anechoic_d0.1_s[8.0,2.0,1.0]_m[1.0,8.0,1.0]",SCOT,41.424,44.058,0.00021,"[[ 0.   44.39 44.39 42.4 ]
 [  nan  0.   44.39 44.39]
 [  nan   nan  0.   44.39]
 [  nan   nan   nan  0.  ]]",0.1,"[1, 8, 1]","[8, 2, 1]",9.068627239003707
