,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position,mic-source distance
0,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.0,1.0]",Classic,166.608,172.84,0.0012,"[[  0.   180.   164.73 167.58]
 [   nan   0.   180.   164.73]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.0, 1.0]",4.317406628984581
1,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.0,1.0]",ROTH,166.608,180.0,0.00554,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.0, 1.0]",4.317406628984581
2,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.0,1.0]",PHAT,166.608,180.0,0.00554,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.0, 1.0]",4.317406628984581
3,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.0,1.0]",SCOT,166.608,180.0,0.00554,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.0, 1.0]",4.317406628984581
4,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.0,1.0]",ECKART,166.608,149.5,0.00903,"[[  0.   149.04 149.04 151.8 ]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.0, 1.0]",4.317406628984581
5,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.0,1.0]",HT,166.608,180.0,0.00554,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.0, 1.0]",4.317406628984581
6,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.9,1.0]",Classic,178.485,180.0,7e-05,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.8888888888888888, 1.0]",4.201469466628592
7,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.9,1.0]",ROTH,178.485,180.0,7e-05,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.8888888888888888, 1.0]",4.201469466628592
8,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.9,1.0]",PHAT,178.485,180.0,7e-05,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.8888888888888888, 1.0]",4.201469466628592
9,"sim_T0.20s_d0.1_mic[5.0,2.0,1.0]_src[1.0,1.9,1.0]",SCOT,178.485,180.0,7e-05,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,"[5, 2, 1]","[1.0, 1.8888888888888888, 1.0]",4.201469466628592
