,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.n,mic_array.position,source.position,source.fs
0,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,5.0,1.0,]",Classic,162.64600000000002,150.172,0.0048,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 5, 1]","[7, 6, 1]",4000
1,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,5.0,1.0,]",ROTH,162.64600000000002,180.0,0.0093,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 5, 1]","[7, 6, 1]",4000
2,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,5.0,1.0,]",PHAT,162.64600000000002,180.0,0.0093,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 5, 1]","[7, 6, 1]",4000
3,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,5.0,1.0,]",SCOT,162.64600000000002,180.0,0.0093,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 5, 1]","[7, 6, 1]",4000
4,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,5.0,1.0,]",ECKART,162.64600000000002,150.172,0.0048,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 5, 1]","[7, 6, 1]",4000
5,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,5.0,1.0,]",HT,162.64600000000002,180.0,0.0093,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 5, 1]","[7, 6, 1]",4000
6,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[6.0,4.0,1.0,]",Classic,68.199,97.072,0.02573,"[[  0.   149.04  90.    73.39]
 [   nan   0.    90.    90.  ]
 [   nan    nan   0.    90.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[6, 4, 1]","[7, 6, 1]",4000
7,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[6.0,4.0,1.0,]",ROTH,68.199,87.232,0.01118,"[[ 0.   90.   90.   73.39]
 [  nan  0.   90.   90.  ]
 [  nan   nan  0.   90.  ]
 [  nan   nan   nan  0.  ]]",0.2,0.1,4,"[6, 4, 1]","[7, 6, 1]",4000
8,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[6.0,4.0,1.0,]",PHAT,68.199,87.232,0.01118,"[[ 0.   90.   90.   73.39]
 [  nan  0.   90.   90.  ]
 [  nan   nan  0.   90.  ]
 [  nan   nan   nan  0.  ]]",0.2,0.1,4,"[6, 4, 1]","[7, 6, 1]",4000
9,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[6.0,4.0,1.0,]",SCOT,68.199,87.232,0.01118,"[[ 0.   90.   90.   73.39]
 [  nan  0.   90.   90.  ]
 [  nan   nan  0.   90.  ]
 [  nan   nan   nan  0.  ]]",0.2,0.1,4,"[6, 4, 1]","[7, 6, 1]",4000
10,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[6.0,4.0,1.0,]",ECKART,68.199,119.52,0.08129,"[[  0.   149.04  90.    90.  ]
 [   nan   0.   149.04  90.  ]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[6, 4, 1]","[7, 6, 1]",4000
11,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[6.0,4.0,1.0,]",HT,68.199,87.232,0.01118,"[[ 0.   90.   90.   73.39]
 [  nan  0.   90.   90.  ]
 [  nan   nan  0.   90.  ]
 [  nan   nan   nan  0.  ]]",0.2,0.1,4,"[6, 4, 1]","[7, 6, 1]",4000
12,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,1.0,1.0,]",Classic,122.619,145.012,0.01548,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 1, 1]","[7, 6, 1]",4000
13,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,1.0,1.0,]",ROTH,122.619,154.2,0.03078,"[[  0.   149.04 149.04 149.04]
 [   nan   0.   180.   149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 1, 1]","[7, 6, 1]",4000
14,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,1.0,1.0,]",PHAT,122.619,154.2,0.03078,"[[  0.   149.04 149.04 149.04]
 [   nan   0.   180.   149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 1, 1]","[7, 6, 1]",4000
15,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,1.0,1.0,]",SCOT,122.619,154.2,0.03078,"[[  0.   149.04 149.04 149.04]
 [   nan   0.   180.   149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 1, 1]","[7, 6, 1]",4000
16,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,1.0,1.0,]",ECKART,122.619,145.012,0.01548,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 1, 1]","[7, 6, 1]",4000
17,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,1.0,1.0,]",HT,122.619,159.36,0.04166,"[[  0.   149.04 149.04 149.04]
 [   nan   0.   180.   149.04]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 1, 1]","[7, 6, 1]",4000
18,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[7.0,4.0,1.0,]",Classic,84.289,130.752,0.06663,"[[  0.   149.04 115.39 106.61]
 [   nan   0.   149.04 115.39]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[7, 4, 1]","[7, 6, 1]",4000
19,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[7.0,4.0,1.0,]",ROTH,84.289,130.752,0.06663,"[[  0.   149.04 115.39 106.61]
 [   nan   0.   149.04 115.39]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[7, 4, 1]","[7, 6, 1]",4000
20,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[7.0,4.0,1.0,]",PHAT,84.289,130.752,0.06663,"[[  0.   149.04 115.39 106.61]
 [   nan   0.   149.04 115.39]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[7, 4, 1]","[7, 6, 1]",4000
21,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[7.0,4.0,1.0,]",SCOT,84.289,130.752,0.06663,"[[  0.   149.04 115.39 106.61]
 [   nan   0.   149.04 115.39]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[7, 4, 1]","[7, 6, 1]",4000
22,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[7.0,4.0,1.0,]",ECKART,84.289,139.403,0.09375,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 115.39]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[7, 4, 1]","[7, 6, 1]",4000
23,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[7.0,4.0,1.0,]",HT,84.289,130.752,0.06663,"[[  0.   149.04 115.39 106.61]
 [   nan   0.   149.04 115.39]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[7, 4, 1]","[7, 6, 1]",4000
24,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,4.0,1.0,]",Classic,147.995,145.012,0.00027,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 4, 1]","[7, 6, 1]",4000
25,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,4.0,1.0,]",ROTH,147.995,180.0,0.03161,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 4, 1]","[7, 6, 1]",4000
26,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,4.0,1.0,]",PHAT,147.995,180.0,0.03161,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 4, 1]","[7, 6, 1]",4000
27,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,4.0,1.0,]",SCOT,147.995,180.0,0.03161,"[[  0. 180. 180. 180.]
 [ nan   0. 180. 180.]
 [ nan  nan   0. 180.]
 [ nan  nan  nan   0.]]",0.2,0.1,4,"[10, 4, 1]","[7, 6, 1]",4000
28,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,4.0,1.0,]",ECKART,147.995,145.012,0.00027,"[[  0.   149.04 149.04 124.87]
 [   nan   0.   149.04 149.04]
 [   nan    nan   0.   149.04]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 4, 1]","[7, 6, 1]",4000
29,"sim_T0.20s_d0.1_fs4000_s[7.0,6.0,1.0]_m[10.0,4.0,1.0,]",HT,147.995,174.84,0.02224,"[[  0.   149.04 180.   180.  ]
 [   nan   0.   180.   180.  ]
 [   nan    nan   0.   180.  ]
 [   nan    nan    nan   0.  ]]",0.2,0.1,4,"[10, 4, 1]","[7, 6, 1]",4000
