,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.n,mic_array.position,source.position
0,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",Classic,88.282,93.075,0.00071,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 7, 1]"
1,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",ROTH,88.282,93.075,0.00071,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 7, 1]"
2,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",PHAT,88.282,93.075,0.00071,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 7, 1]"
3,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",SCOT,88.282,93.075,0.00071,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 7, 1]"
4,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",ECKART,88.282,93.075,0.00071,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 7, 1]"
5,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",HT,88.282,93.075,0.00071,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 7, 1]"
6,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",Classic,87.709,92.05,0.00058,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 7, 1]"
7,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",ROTH,87.709,92.05,0.00058,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 7, 1]"
8,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",PHAT,87.709,92.05,0.00058,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 7, 1]"
9,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",SCOT,87.709,92.05,0.00058,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 7, 1]"
