,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
0,"sim_T0.20s_d0.1_s[3.0,8.0,0.5]_m[5.0,2.0,1.0]",Classic,110.072,108.647,6e-05,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 106.61]
 [   nan    nan   0.   106.61]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 0.5]"
1,"sim_T0.20s_d0.1_s[3.0,8.0,0.5]_m[5.0,2.0,1.0]",ROTH,110.072,109.725,0.0,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   110.93]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 0.5]"
2,"sim_T0.20s_d0.1_s[3.0,8.0,0.5]_m[5.0,2.0,1.0]",PHAT,110.072,109.725,0.0,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   110.93]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 0.5]"
3,"sim_T0.20s_d0.1_s[3.0,8.0,0.5]_m[5.0,2.0,1.0]",SCOT,110.072,109.725,0.0,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   110.93]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 0.5]"
4,"sim_T0.20s_d0.1_s[3.0,8.0,0.5]_m[5.0,2.0,1.0]",ECKART,110.072,108.647,6e-05,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 106.61]
 [   nan    nan   0.   106.61]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 0.5]"
5,"sim_T0.20s_d0.1_s[3.0,8.0,0.5]_m[5.0,2.0,1.0]",HT,110.072,109.005,4e-05,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   106.61]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 0.5]"
6,"sim_T0.20s_d0.1_s[3.0,8.0,1.0]_m[5.0,2.0,1.0]",Classic,110.136,108.05,0.00013,"[[  0.   110.93 106.61 106.61]
 [   nan   0.   110.93 106.61]
 [   nan    nan   0.   106.61]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 1.0]"
7,"sim_T0.20s_d0.1_s[3.0,8.0,1.0]_m[5.0,2.0,1.0]",ROTH,110.136,109.725,1e-05,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   110.93]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 1.0]"
8,"sim_T0.20s_d0.1_s[3.0,8.0,1.0]_m[5.0,2.0,1.0]",PHAT,110.136,109.725,1e-05,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   110.93]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 1.0]"
9,"sim_T0.20s_d0.1_s[3.0,8.0,1.0]_m[5.0,2.0,1.0]",SCOT,110.136,109.725,1e-05,"[[  0.   110.93 108.76 108.04]
 [   nan   0.   110.93 108.76]
 [   nan    nan   0.   110.93]
 [   nan    nan    nan   0.  ]]",0.2,0.1,"[5, 2, 1]","[3, 8, 1.0]"
